respondent_ID,collector_ID,gender,age,education,ethnicity_race,country,usefulness_of_experience,money_value,dislike,change_for_improvement,like_most,describe_experience
5462333820,90546233,male,30 - 49  ,university,White,DE - Germany,4,Average,Sometimes it is hard to find time for it. Maybe an app for the smartphone would be cool (to be able to use it everywhere).,Smaller sessions.,In general it is a cool thing understanding the non-verbal language of people.,
5462169769,90546233,male,19 - 29  ,university,Asian / Pacific Islander,CN - China,4,Excellent,hard to use apply this skill in real life case without using camera record.,Identify emotions,Same as last one,
5461865985,90546233,male,30 - 49  ,university,White,DE - Germany,4,Average,"I still love the tool but would like to have the 99 dollar one time purchasing, not annual?","1. A life-time access for that money, until you do not      change dramatically.   2. On the test please highlight the sections choosen      (with another color)  ","The general usability of spotting expressions can be helpful and once skilled also a nightmare in once. Nevertheless, it can be helpful, but it needs a very long training periode... (and to get it in flesh and bone more than a year)","It would be helpful to have a version that runs smooth on both desktop and as web app on the smartphone.    A version in German and Portuguese would be nice to see in the near future and for that reason face examples that meet the genders and races we face in that regions and/ or countries.    To be honest, as we have less black/ asian people in Europe it would be more helpful to have faces that are more european - as those are the once we face in real life.    Thanks "
5461741560,90546233,female,19 - 29  ,university,Multi-racial,,3,Average,N/A,N/A,N/A,
5461708247,90546233,male,30 - 49  ,university,White,DE - Germany,3,Below average,This kind of one year pay-serve...,"As explained, offline version, one time payment, more examples and a somehow a shift into real life situations, face plus postures plus situation....?    ","It makes life in general more transparent, unfortunately you will have to live from that moments onwards with this new skill... sometimes you will wish to be naive again...",
5461595665,90546233,male,30 - 49  ,post graduate,White,IE - Ireland,5,Excellent,nothing,the system does not run well over a wireless link to monitor/screen,feedback,The tools help deepen the experience and understanding of the FACS. 
5461307643,90546233,male,50 - 64  ,post graduate,Multi-racial,AU - Australia,4,Above average,"Not enough variety of scenarios in Law enforcement, workplace and family modules",Increase number of scenarios,"METT, SETT",Good feedback on each expression
5460545380,90546233,female,30 - 49  ,university,White,DK - Denmark,5,Above average,"That it is only ""flashes"" and not talking sequences",That it would be real conversations (like in the tests connected to the education) - maybe it could be a thing for people who have passed the causes?,"The ease of use, the ""use-as-much-as-you-can""","increases learning of the micro expressions, increases the concentration level"
5459557379,90546233,male,50 - 64  ,university,White,NL - Netherlands,5,Above average,"With most on-line training you get a lifetime access, which is here not the case",see 8,The total set up and feedback,Gives me a lot of insights about people behaviour very practical.
5459515551,90546233,female,30 - 49  ,university,White,US - United States,4,Above average,Nothing,I little more detail in the explanations with other expressions that might be similar,That it was all online,I found it useful for the purposes of interviewing canidates for my company and working in HR 
5459431686,90546233,male,0 -18,high school,Asian / Pacific Islander,"KR - Korea, South",3,Excellent,N/A,N/A,N/A,
5459295161,90546233,male,30 - 49  ,post graduate,Asian / Pacific Islander,JP - Japan,4,Above average,Please have subtitle on the movies  sometimes very difficult words in the training    one lession is too long ,much slower version of METT    short version of METT,a kind of game and fun,I enjoyed it!
5459044726,90546233,male,30 - 49  ,post graduate,White,CA - Canada,5,Above average,The speed of some examples was pretty high.  I think an even slower option would help.   More faces as well would help,Live courses in locations where I can attend.   Or at least live courses I can take over high speed internet ,Very applicable in real life ,Loved them 
